파일경로,파일명,제목,아티스트,연도,장르,추천장르,Spotify_인기도,Spotify_URL,검색_결과
/Users/mac/Downloads/djing/Big Boss Vette - Outside (Dirty).mp3,Big Boss Vette - Outside (Dirty).mp3,Outside (Dirty),Big Boss Vette,2021.0,Hip Hop / Trap / Southern,,47,https://open.spotify.com/track/1VmMXcpqx6DdYaet29KRkK,발견 (유사도: 0.63)
/Users/mac/Downloads/djing/Iggy Azalea ft Quavo - Savior (Clean).mp3,Iggy Azalea ft Quavo - Savior (Clean).mp3,Savior (Clean),Iggy Azalea ft Quavo,2018.0,Pop / Hip Hop / Edm,,,,찾을 수 없음
/Users/mac/Downloads/djing/Summer Walker - Playing Games (Dirty).mp3,Summer Walker - Playing Games (Dirty).mp3,Playing Games (Dirty),Summer Walker,2019.0,R&B / Neo Soul / Contemporary R&B,,64,https://open.spotify.com/track/4hWgC5BV5M7EtTleKVXNxw,발견 (유사도: 0.73)
/Users/mac/Downloads/djing/에픽하이 (EPIK HIGH) - 정당방위 (Feat. 우원재 & 넉살 & 창모).mp3,에픽하이 (EPIK HIGH) - 정당방위 (Feat. 우원재 & 넉살 & 창모).mp3,정당방위 (Feat. 우원재 & 넉살 & 창모),에픽하이 (EPIK HIGH),2021.0,Hip Hop / K-Rap,,,,찾을 수 없음
/Users/mac/Downloads/djing/EVERGLOW (에버글로우) - NO LIE.mp3,EVERGLOW (에버글로우) - NO LIE.mp3,NO LIE,EVERGLOW (에버글로우),2020.0,Pop / Dance / K-Pop,,45,https://open.spotify.com/track/4bjfCjLU7FnyaqbB7FPLs9,발견 (유사도: 0.85)
/Users/mac/Downloads/djing/Frank Ocean ft Travis Scott - Lens V2 (Dirty).mp3,Frank Ocean ft Travis Scott - Lens V2 (Dirty).mp3,Lens V2 (Dirty),Frank Ocean ft Travis Scott,2017.0,R&B / Alternative R&B / Experimental,,,,찾을 수 없음
/Users/mac/Downloads/djing/Sean Kingston ft Chris Brown And Wiz Khalifa - Beat It (Dirty).mp3,Sean Kingston ft Chris Brown And Wiz Khalifa - Beat It (Dirty).mp3,Beat It (Dirty),Sean Kingston ft Chris Brown And Wiz Khalifa,2013.0,Hip Hop / R&B,,,,찾을 수 없음
/Users/mac/Downloads/djing/Fleeky Bang - My Ninjas.mp3,Fleeky Bang - My Ninjas.mp3,My Ninjas,Fleeky Bang,2022.0,Hip Hop / K-Rap,,35,https://open.spotify.com/track/4zuiSlVAcYj0jvuEgSqanX,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Chris Brown - Midnight Freak (Dirty).mp3,Chris Brown - Midnight Freak (Dirty).mp3,Midnight Freak (Dirty),Chris Brown,2023.0,R&B / Pop / Dance / Urban,,52,https://open.spotify.com/track/5eLtrob1UMUmHEf2cM41pO,발견 (유사도: 0.75)
/Users/mac/Downloads/djing/Wine-O ft DJ Unk - Hokey Pokey (Clean).mp3,Wine-O ft DJ Unk - Hokey Pokey (Clean).mp3,Hokey Pokey (Clean),Wine-O ft DJ Unk,2007.0,Hip Hop / Crunk / Southern,,,,찾을 수 없음
/Users/mac/Downloads/djing/Carly Rae Jepsen - Shy Boy (Clean).mp3,Carly Rae Jepsen - Shy Boy (Clean).mp3,Shy Boy (Clean),Carly Rae Jepsen,2023.0,Pop / Dance / Synth-Pop,,45,https://open.spotify.com/track/2diHObxEyYlftJ2pPIB3eG,발견 (유사도: 0.63)
/Users/mac/Downloads/djing/Offset ft Moneybagg Yo - CODE (Dirty).mp3,Offset ft Moneybagg Yo - CODE (Dirty).mp3,CODE (Dirty),Offset ft Moneybagg Yo,2022.0,Hip Hop / Trap,,,,찾을 수 없음
/Users/mac/Downloads/djing/BOBBY - 가드올리고 Bounce.mp3,BOBBY - 가드올리고 Bounce.mp3,가드올리고 Bounce,BOBBY,2014.0,Hip Hop / K-Rap,,,,찾을 수 없음
/Users/mac/Downloads/djing/Usher - Climax (Clean).mp3,Usher - Climax (Clean).mp3,Climax (Clean),Usher,2008.0,R&B / Electrosoul,,,,찾을 수 없음
/Users/mac/Downloads/djing/TLC - No Scrubs (With Rap) (Dirty).mp3,TLC - No Scrubs (With Rap) (Dirty).mp3,No Scrubs (With Rap) (Dirty),TLC,1999.0,R&B / Pop / Hip Hop,,,,찾을 수 없음
/Users/mac/Downloads/djing/Doja Cat - Get Into It (Yuh).mp3,Doja Cat - Get Into It (Yuh).mp3,Get Into It (Yuh),Doja Cat,2021.0,Pop / Hip Hop / R&B,,75,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Ty Dolla Sign - Motion (Clean).mp3,Ty Dolla Sign - Motion (Clean).mp3,Motion (Clean),Ty Dolla Sign,2023.0,R&B / Club / Electronic / Dancehall-influenced / Afrobeats,,,,찾을 수 없음
/Users/mac/Downloads/djing/Mike Jones - Next To You (Dirty).mp3,Mike Jones - Next To You (Dirty).mp3,Next To You (Dirty),Mike Jones,2008.0,Hip Hop / Southern / Dirty South,,4,https://open.spotify.com/track/4VkQakKDFExg77P4Fg3fyi,발견 (유사도: 0.72)
/Users/mac/Downloads/djing/Sam Smith ft ASAP Rocky - I'm Not The Only One (Remix) (Dirty).mp3,Sam Smith ft ASAP Rocky - I'm Not The Only One (Remix) (Dirty).mp3,I'm Not The Only One (Remix) (Dirty),Sam Smith ft ASAP Rocky,2014.0,Pop / R&B / Soul,,,,찾을 수 없음
/Users/mac/Downloads/djing/Sofia Reyes ft RITA ORA & Anitta - R.I.P. (Dirty).mp3,Sofia Reyes ft RITA ORA & Anitta - R.I.P. (Dirty).mp3,R.I.P. (Dirty),Sofia Reyes ft RITA ORA & Anitta,2019.0,Pop / Latin / Dance / Brazil,,,,찾을 수 없음
/Users/mac/Downloads/djing/Lil Baby ft 21 Savage - Outfit (Dirty).mp3,Lil Baby ft 21 Savage - Outfit (Dirty).mp3,Outfit (Dirty),Lil Baby ft 21 Savage,2025.0,Hip Hop / Trap,,,,찾을 수 없음
/Users/mac/Downloads/djing/The Game ft Kanye West - Wouldn't Get Far (Dirty).mp3,The Game ft Kanye West - Wouldn't Get Far (Dirty).mp3,Wouldn't Get Far (Dirty),The Game ft Kanye West,2018.0,Hip Hop / Rap,,61,https://open.spotify.com/track/39yRhjDdSTP4A7VehxBXDb,발견 (유사도: 0.60)
/Users/mac/Downloads/djing/Jason Cerda & Les Twins - Pa'Mi (Dirty).mp3,Jason Cerda & Les Twins - Pa'Mi (Dirty).mp3,Pa'Mi (Dirty),Jason Cerda & Les Twins,2024.0,Latin Pop,,,,찾을 수 없음
/Users/mac/Downloads/djing/Ja Rule ft Case - Livin It Up (Dirty).mp3,Ja Rule ft Case - Livin It Up (Dirty).mp3,Livin It Up (Dirty),Ja Rule ft Case,2018.0,Hip Hop / R&B / East Coast,,,,찾을 수 없음
/Users/mac/Downloads/djing/PARTYNEXTDOOR & Drake - CN TOWER (Dirty).mp3,PARTYNEXTDOOR & Drake - CN TOWER (Dirty).mp3,CN TOWER (Dirty),PARTYNEXTDOOR & Drake,2025.0,R&B / Hip Hop / Trap / Pop,,,,찾을 수 없음
"/Users/mac/Downloads/djing/Lady Gaga - Beautiful, Dirty, Rich (Clean).mp3","Lady Gaga - Beautiful, Dirty, Rich (Clean).mp3","Beautiful, Dirty, Rich (Clean)",Lady Gaga,2002.0,Pop / Dance-Pop / Electro-Pop,,53,https://open.spotify.com/track/0Bjr5EAEa5YxfSHHWzZmds,발견 (유사도: 0.81)
/Users/mac/Downloads/djing/Jessie Reyez ft Ari Lennox - Just Like That (Clean).mp3,Jessie Reyez ft Ari Lennox - Just Like That (Clean).mp3,Just Like That (Clean),Jessie Reyez ft Ari Lennox,2024.0,R&B / Pop,,,,찾을 수 없음
/Users/mac/Downloads/djing/Trillville ft Cutty - Some Cut (Dirty).mp3,Trillville ft Cutty - Some Cut (Dirty).mp3,Some Cut (Dirty),Trillville ft Cutty,2004.0,Hip Hop / Southern Hip Hop,,,,찾을 수 없음
"/Users/mac/Downloads/djing/PARTYNEXTDOOR, Drake, & Yebba - DIE TRYING (Dirty).mp3","PARTYNEXTDOOR, Drake, & Yebba - DIE TRYING (Dirty).mp3",DIE TRYING (Dirty),"PARTYNEXTDOOR, Drake, & Yebba",2025.0,R&B / Pop,,,,찾을 수 없음
/Users/mac/Downloads/djing/Doe Boy - Way Too Long (Clean).mp3,Doe Boy - Way Too Long (Clean).mp3,Way Too Long (Clean),Doe Boy,2023.0,Hip Hop / Trap / Midwest,,33,https://open.spotify.com/track/499qzfPwb8DdacaTiHMqn9,발견 (유사도: 0.72)
/Users/mac/Downloads/djing/Big Boss Vette - Snatched (Dirty).mp3,Big Boss Vette - Snatched (Dirty).mp3,Snatched (Dirty),Big Boss Vette,2022.0,Hip Hop / Trap / Southern,,53,https://open.spotify.com/track/48JqhA9zo7QlanLa8e0bZE,발견 (유사도: 0.65)
/Users/mac/Downloads/djing/Dvsn ft Snoh Aalegra - Between Us (Dirty).mp3,Dvsn ft Snoh Aalegra - Between Us (Dirty).mp3,Between Us (Dirty),Dvsn ft Snoh Aalegra,2020.0,R&B / Soul / Alternative R&B,,,,찾을 수 없음
/Users/mac/Downloads/djing/GD X TAEYANG - GOOD BOY.mp3,GD X TAEYANG - GOOD BOY.mp3,GOOD BOY,GD X TAEYANG,2014.0,Pop / Edm / K-Pop,,67,https://open.spotify.com/track/52mglSL6bdbrg9zig7nazP,발견 (유사도: 1.00)
"/Users/mac/Downloads/djing/Cam'Ron ft Freekey Zekey, Toya & Juelz Santana - Hey Ma (Dirty).mp3","Cam'Ron ft Freekey Zekey, Toya & Juelz Santana - Hey Ma (Dirty).mp3",Hey Ma (Dirty),"Cam'ron ft Freekey Zekey, Toya & Juelz Santana",2002.0,Hip Hop / Pop Rap / East Coast,,,,찾을 수 없음
/Users/mac/Downloads/djing/Olivia Rodrigo - bad idea right (Dirty).mp3,Olivia Rodrigo - bad idea right (Dirty).mp3,bad idea right? (Dirty),Olivia Rodrigo,2023.0,Pop / Top 40 / Alternative,,81,https://open.spotify.com/track/3IX0yuEVvDbnqUwMBB3ouC,발견 (유사도: 0.76)
"/Users/mac/Downloads/djing/Blac Youngsta ft Chris Brown, Jeezy & Trey Songz - Booty (Remix) (Dirty).mp3","Blac Youngsta ft Chris Brown, Jeezy & Trey Songz - Booty (Remix) (Dirty).mp3",Booty (Remix) (Dirty),"Blac Youngsta ft Chris Brown, Jeezy & Trey Songz",2018.0,Hip Hop / Trap / Southern,,,,찾을 수 없음
/Users/mac/Downloads/djing/Tink ft Skilla Baby - Playa (Dirty).mp3,Tink ft Skilla Baby - Playa (Dirty).mp3,Playa (Dirty),Tink ft Skilla Baby,2024.0,R&B / Hip Hop,,,,찾을 수 없음
/Users/mac/Downloads/djing/Mariah Carey - All I Want For Christmas Is You (Clean).mp3,Mariah Carey - All I Want For Christmas Is You (Clean).mp3,All I Want For Christmas Is You (Clean),Mariah Carey,1994.0,Pop / Christmas / Holiday,,70,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,발견 (유사도: 0.86)
/Users/mac/Downloads/djing/The Notorious B.I.G. ft R. Kelly - Lovin' You Tonight (Dirty).mp3,The Notorious B.I.G. ft R. Kelly - Lovin' You Tonight (Dirty).mp3,Lovin' You Tonight (Dirty),The Notorious B.I.G. ft R. Kelly,1997.0,Hip Hop / R&B / East Coast,,,,찾을 수 없음
/Users/mac/Downloads/djing/Snoop Dogg & Dr. Dre ft Alus - Outta Da Blue (Dirty).mp3,Snoop Dogg & Dr. Dre ft Alus - Outta Da Blue (Dirty).mp3,Outta Da Blue (Dirty),Snoop Dogg & Dr. Dre ft Alus,2024.0,Hip Hop / Gangsta Rap / G-Funk / West Coast Hip Hop,,,,찾을 수 없음
/Users/mac/Downloads/djing/저스디스 (JUSTHIS) & R.Tee & 던말릭 (DON MALIK) & 허성현 (Huh) & KHAN & 맥대디 (Mckdaddy) & Los - 마이웨이 (MY WAY) (Prod. by R.Tee).mp3,저스디스 (JUSTHIS) & R.Tee & 던말릭 (DON MALIK) & 허성현 (Huh) & KHAN & 맥대디 (Mckdaddy) & Los - 마이웨이 (MY WAY) (Prod. by R.Tee).mp3,마이웨이 (MY WAY) (Prod. by R.Tee),저스디스 (JUSTHIS) & R.Tee & 던말릭 (DON MALIK) & 허성현 (Huh) & KHAN & 맥대디 (Mckdaddy) & Los,2022.0,Hip Hop / K-Rap,,,,찾을 수 없음
/Users/mac/Downloads/djing/Jonn Hart ft Iamsu! - Who Booty (Dirty).mp3,Jonn Hart ft Iamsu! - Who Booty (Dirty).mp3,Who Booty (Dirty),Jonn Hart ft Iamsu!,2012.0,R&B / Club / West Coast,,,,찾을 수 없음
/Users/mac/Downloads/djing/TiaCorine - ATE (Dirty).mp3,TiaCorine - ATE (Dirty).mp3,ATE (Dirty),TiaCorine,2025.0,Hip Hop,,,,찾을 수 없음
/Users/mac/Downloads/djing/박재범 - Xtra McNasty (Feat. Jessi & Awich & MILLI & Ramengvrl & Lil Cherry & MIRANI & Maliibu Miitch & CAMO).mp3,박재범 - Xtra McNasty (Feat. Jessi & Awich & MILLI & Ramengvrl & Lil Cherry & MIRANI & Maliibu Miitch & CAMO).mp3,Xtra McNasty (Feat. Jessi & Awich & MILLI & Ramengvrl & Lil Cherry & MIRANI & Maliibu Miitch & CAMO),박재범,2024.0,Hip Hop / K-Rap / R&B,,,,찾을 수 없음
/Users/mac/Downloads/djing/Tommy Richman - MILLION DOLLAR BABY (Clean).mp3,Tommy Richman - MILLION DOLLAR BABY (Clean).mp3,MILLION DOLLAR BABY (Clean),Tommy Richman,2024.0,Hip Hop / Pop Rap / Novelty,,88,https://open.spotify.com/track/5AJ9hqTS2wcFQCELCFRO7A,발견 (유사도: 0.79)
/Users/mac/Downloads/djing/The Weeknd - Take My Breath (Clean).mp3,The Weeknd - Take My Breath (Clean).mp3,Take My Breath (Clean),The Weeknd,2021.0,Pop / R&B / Dance / Club,,73,https://open.spotify.com/track/2vgUijXOTRMnWXDtvgMp2b,발견 (유사도: 0.75)
/Users/mac/Downloads/djing/Lil Mosey - Stuck In A Dream (Feat. Gunna).mp3,Lil Mosey - Stuck In A Dream (Feat. Gunna).mp3,Stuck In A Dream (Feat. Gunna),Lil Mosey,2019.0,Hip Hop / Trap / West Coast,,67,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Jess Glynne - Hold My Hand (Clean).mp3,Jess Glynne - Hold My Hand (Clean).mp3,Hold My Hand (Clean),Jess Glynne,2015.0,Dance‑pop / Eurodance,,67,https://open.spotify.com/track/1eOJAiCKFuMda0fPRvjcuc,발견 (유사도: 0.72)
/Users/mac/Downloads/djing/Smino - No L's (Dirty).mp3,Smino - No L's (Dirty).mp3,No L's (Dirty),Smino,2022.0,Hip Hop / R&B / Neo-Soul,,,,찾을 수 없음
/Users/mac/Downloads/djing/Chance The Rapper - All Night (Dirty).mp3,Chance The Rapper - All Night (Dirty).mp3,All Night (Dirty),Chance The Rapper ft Knox Fortune,2016.0,Hip Hop / Rap / Dance-Infused,,,,찾을 수 없음
/Users/mac/Downloads/djing/R Kelly ft The Game - Playa's Only (Dirty).mp3,R Kelly ft The Game - Playa's Only (Dirty).mp3,Playa's Only (Dirty),R Kelly ft The Game,2005.0,R&B / Hip Hop,,,,찾을 수 없음
/Users/mac/Downloads/djing/PinkPantheress ft Ice Spice - Boys A Liar Pt. 2 (Dirty).mp3,PinkPantheress ft Ice Spice - Boys A Liar Pt. 2 (Dirty).mp3,Boy's A Liar Pt. 2 (Dirty),PinkPantheress ft Ice Spice,2023.0,Pop / Hip Hop / Jersey Club,,76,https://open.spotify.com/track/5CCr8msaN3MhgqBoa9yWhH,발견 (유사도: 0.64)
